Job Title,Job Company,Job Location,Job Type,Job Pay,Job Excerpt
Contact Tracer - COVID-19 Contact Tracing (Remote - State of...,AM Trace,Remote,Not remote,Pay details not available,"

Maintain daily contact with the supervisor.
Call contacts of newly-diagnosed patients.
Communicate with contacts in a professional and empathetic manner.
"
CASE INVESTIGATOR COVID-19,CODICE,"Washington, DC 20005 (Logan Circle area)",Not remote,Pay details not available,"

Interview cases and identified contacts;
This will be achieved through rapid and robust case identification, case investigation, contact tracing, and safe…
"
Contact Tracing Teams Manager,Public Health Institute,California,Remote,"$74,547 - $92,363 a year","

5 years of experience managing in a contact center or similar environment.
The Public Health Institute (PHI) is organizing teams of community contact tracing…
"
COVID-19 Contact Tracer Bilingual English and Spanish,Temporary Solutions,"Norfolk, VA 23510 (Ghent area)",Not remote,$18 - $20 an hour,"

Provide contact information and helpful healthcare resources.
Must be comfortable contacting assigned cases, with a welcoming disposition to ensure participants…
"
Part Time Contact Tracer,Indiana University,"Indianapolis, IN 46202 (Downtown area)",Temporarily remote,Pay details not available,"

May be involved with contact tracing duties related to quarantine and monitoring of contacts.
Skill in capturing information from case/contact interviews and…
"
HEALTH TECHNICIAN - COVID CONTACT TRACING,University of Wisconsin–Madison,"Madison, WI 53706",Remote,Pay details not available,"

The Contact Tracers will use a computer program and phones to call all contacts of anyone diagnosed with COVID-19 to document a symptom check, refer them for…
"
"Social Worker - COVID-19 Contact Tracing Program (Anchorage,...",AM Trace,Remote,Not remote,Pay details not available,"

AM Trace has an immediate opening for a Social Worker to support state and local COVID-19 Contact Tracing programs.
Collect and record information to the CRM.
"
Contact Tracing Specialist (Contract position),Outagamie County,"Appleton, WI",Remote,$20 an hour,"

Maintain daily contact with OCPH liaison.
Interviews clients and conducts disease investigations including contact tracing activities in accordance with…
"
COVID-19 Investigator & Contact Tracer,Utah State University,"Logan, UT 84322 (Hillcrest area)",Not remote,$15 an hour,"

Coordinate contact tracing efforts with supervisor and/or team leads.
Contact individuals who have been infected with a disease, identify close contacts that…
"
"Program Manager, Contact Tracing & Screening",Barnard College,"New York, NY 10027 (Morningside Heights area)",Not remote,Pay details not available,"

Resolve problems with contact tracers as issues arise during the course of the work and when difficult cases are encountered.
"
Occupational Contact Tracer / EHS Monitor,Jabil,"Memphis, TN 38103 (Downtown area)",Not remote,Pay details not available,"

Call contacts of newly diagnosed patients.
Maintain daily contact with EHS Manager.
The Contact Tracer/Monitor will contact all contacts of anyone diagnosed…
"
Contact Tracer - Temporary,Oklahoma City Public Schools,"Oklahoma City, OK",Not remote,Pay details not available,"

Communicate with contacts in a professional and empathetic manner.
Help ensure the safe, sustainable and effective quarantine of contacts to prevent additional…
"
Bilingual Contact Tracer - COVID 19,Shelby County Government,"Memphis, TN",Not remote,Pay details not available,"

Conducts investigation of persons diagnosed with or having contact to COVID-19.
Three (3) years of experience in customer service, health services, education,…
"
Public Health Associate (16660),American University,"Washington, DC 20016 (Spring Valley area)",Not remote,Pay details not available,"

Work with the DC Department of Health (DOH) contact tracing experts to test and arrange for quarantine of all students who are contacts of a known COVID-19 case…
"
Case Investigator - COVID 19,University of MO-Columbia,"Columbia, MO",Temporarily remote,$20 an hour,"

Indirectly supervise and manage a staff of lead contact tracers and contact tracers; typically 12 staff members.
This position will need to work remotely.
"
Contact Tracer Supervisor – Pacific Northwest,Public Health Institute,"Pacific, WA",Not remote,"$63,000 a year","

Contact tracers work with COVID-19 patients to help them recall everyone with whom they have had close contact during the timeframe while they may have been…
"
COVID-19 Contact Tracer Bilingual English and Spanish,Temporary Solutions,"Norfolk, VA 23510 (Ghent area)",Not remote,$18 - $20 an hour,"

Provide contact information and helpful healthcare resources.
Must be comfortable contacting assigned cases, with a welcoming disposition to ensure participants…
"
Lead Contact Tracer -COVID 19,Shelby County Government,"Memphis, TN",Not remote,Pay details not available,"

Conducts investigation of persons diagnosed with or having contact to COVID-19.
The Lead Health Investigator reports to Manager A. This position serves as a…
"
Director of Community Engagement Contact Tracing,NYC Health + Hospitals,"New York, NY 11201 (DUMBO area)",Not remote,"$76,389 - $165,000 a year","

Directing a team of 600 off-site Community Engagement staff in order to effectively execute the country’s largest public health community-based contact tracing…
"
Program Service Aide (Community Health Worker – Contact Trac...,University of Illinois at Chicago,"Chicago, IL 60607 (University Village - Little Italy area)",Not remote,Pay details not available,"

Tracers will help obtain symptom information; refer contacts for testing and/or supportive services; provide instructions for self-quarantine; and obtain…
"
Covid-19 Public Health Navigator,Richmond City Health District,"Richmond, VA 23219 (City Center area)",Temporarily remote,$19 - $20 an hour,"

Gathers contact information about close contacts with COVID-19 patients to assist contact-tracing efforts and increase testing amongst at-risk individuals.
"
Health Educator,Town of Glastonbury,"Glastonbury, CT 06033",Not remote,$20 an hour,"

Performs contact tracing for residents identified positive with or exposed to COVID-19.
Under general supervision of the COVID-19 Coordinator, incumbent…
"
COVID-19 Investigator & Contact Tracer,Utah State University,"Logan, UT 84322 (Hillcrest area)",Not remote,$15 an hour,"

Coordinate contact tracing efforts with supervisor and/or team leads.
Contact individuals who have been infected with a disease, identify close contacts that…
"
RN/LPN - Contact Tracing Nurse (Part Time),CENTER FOR TOXICOLOGY AND ENVIRONMENTAL HEALTH LLC,Remote,Not remote,Pay details not available,"

Effectively enters data related to contact tracing and case management, and.
Primarily responsible for performing work assigned by a supervising Medical…
"
Contact Tracing Specialist (Contract position),Outagamie County,"Appleton, WI",Remote,$20 an hour,"

Maintain daily contact with OCPH liaison.
Interviews clients and conducts disease investigations including contact tracing activities in accordance with…
"
Contact Tracer Management Mayor's Office of Employment Devel...,"City of Baltimore, MD","Baltimore, MD",Temporarily remote,$97 a day,"

The Supervisor will oversee a team of Career Navigators providing job coaching and other career development support to temporary staff members at the Baltimore…
"
COVID-19 Disease Investigator,Kindred Healthcare,"Louisville, KY 40204 (Highlands area)",Temporarily remote,Pay details not available,"

Maintain trust and provide calm and professional demeanor to help patients recall individuals they may have been in contact with and their specific locations.
"
Contact Tracer Supervisor,Public Health Institute,California,Not remote,"$63,000 a year","

Communicate with contacts in a professional and empathetic manner.
Track daily and weekly progress for the team against target goals including cases contacted…
"
"COVID-19 Containment, Case Investigator",UNC Charlotte,"Charlotte, NC",Not remote,Pay details not available,"

Work closely with a team made up of surveillance coordinators, contact tracers, and data managers to efficiently complete case investigations. ?
"
Contact Tracer / Case Investigator - WORK FROM HOME - Must l...,Alorica,"Tucson, AZ 85756",Temporarily remote,Pay details not available,"

A successful contact tracer should be able to actively listen, think critically, solve problems and empathize with contacts.
"
"Supervisor, Contact Tracing",Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Interview the patient and investigate data to trace the patient’s contacts, and coordinate next steps for contacts.
Provide staff coaching and training.
"
Intake Contact Tracer,Chicago Public Schools,"Chicago, IL",Not remote,Pay details not available,"

Work with the team to execute the next steps and notifying close contacts;
Contact Tracers will be trained in the basics of the virus, epidemiology, case…
"
Case Investigator/Contact Tracer (CI/CT),TIBURCIO VASQUEZ HEALTH CENTER INC.,"Hayward, CA 94541 (North Hayward area)",Not remote,Pay details not available,"

Participate in contact tracing training to learn procedures and best practices around case investigation and contact tracing.
This requires the CI/CT to:
"
Bilingual COVID-19 Contact Tracer (County Classification: Co...,County of San Luis Obispo,"San Luis Obispo County, CA",Not remote,"$51,230 - $62,275 a year","

The Contact Tracers make daily contact with positive testing persons to check in and release from quarantine when appropriate.
"
